sugarName,addedSugar,image_link,
Cane juice,Yes,Cane_juice.png,https://redcliffelabs.com/myhealth/wp-content/uploads/2022/02/Sugarcane-Sugarcane-Juice-Natural-Juice-Healthy-5388628-1200x900.jpg
Corn syrup,Yes,Corn_syrup.png,https://parade.com/.image/t_share/MTkwNTgxMzM3NTk3NjgzNTgw/corn-syrup.jpg
Dextrose,Yes,Dextrose.png,https://thesugarbreakup.files.wordpress.com/2014/07/dextrose_rms_together_2014_noshadow_13july2014_.jpg?w=641
Fructose,Yes,Fructose.png,https://www.news-medical.net/images/news/ImageForNews_735899_1673881356810424.jpg
Fruit juice concentrates,Yes,fruit_juice.png,https://static.toiimg.com/thumb/70478287.cms?width=680&height=512&imgsize=137433
Fruit nectars (such as agave nectar),Yes,Fruit_nectars.png,https://cdn-prod.medicalnewstoday.com/content/images/articles/320/320834/bottles-of-fruit-juice.jpg
Glucose,Yes,Glucose.png,https://assets.nutrisense.io/62e18da95149ec2ee0d87b5b/630f6c02ba1f6d59f4fd2a70_7-supplements-to-lower-blood-sugar-6.webp
Honey,Yes,HONEY.png,https://assets.bonappetit.com/photos/608c1f0b6863f9a7d9726bdf/16:9/w_2560%2Cc_limit/Basically-HONEY.jpg
Malt syrup,Yes,Malt_syrup.png,https://cdn.shopify.com/s/files/1/0433/8509/4295/products/country-life-natural-foods-other-sweeteners-5-gal-malt-syrup-corn-barley-32363279384760_1000x.jpg?v=1661212327
Maple syrup and syrup,Yes,Maple_syrup_and_syrup.png,https://whistlingwellfarm.com/wp-content/uploads/2020/09/Maple-Syrup-Featured-Image.jpg
Molasses,Yes,Molasses.png,https://m.media-amazon.com/images/I/7173I1zX4hL.jpg
Raw sugar,Yes,Raw_sugar.png,https://www.motherjones.com/wp-content/uploads/sugar-master.gif?w=991
Sugar,Yes,suagr.png,https://cdn.britannica.com/73/239573-050-E9A4DB36/sugar-cubes.jpg
Sucrose,Yes,sugar_on_spoon.png,https://nibble.com.hr/wp-content/uploads/2021/01/sugar-on-spoon.jpg
Sugar cane,Yes,Sugar_cane.png,https://m.media-amazon.com/images/I/41-S8XItikL.jpg
Sugar Alcohol,No,Sugar_Alcohol.png,https://healthjade.com/wp-content/uploads/2017/07/xylitol-sweetener.jpg